address,Hypercore USDHL/USDC Rewards,Morpho Vault USDHL Rewards,Hyperswap USDHL/WHYPE Rewards,Hyperswap USDHL/USDT0 Rewards,Hyperswap USDHL/FEUSD Rewards,Hyperswap USDHL/WHLP Rewards,Curve hwHLP/USDhl Rewards,Total Rewards
0x2ab644df83c3a553a59c8b704aa108f15b84b131,0.06533831242917668,0.8886244722736515,0.0,0.0,0.0,0.0,0.0,0.9539627847028281
0x67a8624706f698c0b198321d86c5bc1f948fcee0,0.14874556931265417,0.0,0.0,0.0,0.0,0.0,0.7806151319954173,0.9293607013080715
0x76c2164fc79492401db1890db0d17d16b9155aa0,1.2934851560793489e-05,0.9287858983470901,0.0,0.0,0.0,0.0,0.0,0.928798833198651
0xc6877a65349b0fa45cc61a267ee682c7abf2b369,0.0,0.9282625969612881,0.0,0.0,0.0,0.0,0.0,0.9282625969612881
0x1b225f6b10cb3e67a55b3ea85169e0696e16a34a,0.0,0.9259385534320083,0.0,0.0,0.0,0.0,0.0,0.9259385534320083
0x60d97552d8f7982922d18d0f2a8fbd9d5b0e2c28,4.704899757675237e-13,0.9251145807969313,0.0,0.0,0.0,0.0,0.0,0.9251145807974018
0x36e285138b9b81eb72d2cdd65ca320111fd42da1,0.0,0.9236428634530717,0.0,0.0,0.0,0.0,0.0,0.9236428634530717
0xa68eb8520766ca5eae81e547128d5cc3fa909a1e,0.0,0.9227010534413651,0.0,0.0,0.0,0.0,0.0,0.9227010534413651
0x11ddd954aa0772e56bd369c629c166d5ddf1f0c1,0.0,0.9181667090818696,0.0,0.0,0.0,0.0,0.0,0.9181667090818696
0x1dff8c29ad7f6d8841a25a9dda8956f2e7a3c134,0.0,0.9068157294905143,0.0,0.0003543350911342737,0.0,0.0,0.0,0.9071700645816485
0x0bfd6e674e98751b1b4e9ecbc183cb79da16b8f0,0.5500762489862389,0.3275799851827258,0.0,0.0,0.0,0.0,0.0,0.8776562341689647
0xe706f6b5e7f9e2320b02a77758c9a0bc3397e0e5,0.032112237363126836,0.7877958386239079,0.0,0.0,0.0,0.05318433677830765,0.0,0.8730924127653424
0xebf0fb688453698c155e5ef9e5b5ce3995d69e53,0.0,0.8668128938704157,9.60471067651443e-06,0.0,0.0,0.0,0.0,0.8668224985810923
0xf4cd43bc0a1f02a53f39a5e8d1a3cc8fdeb1b9c5,0.03013165641810752,0.8341704987319025,0.0,0.0,0.0,0.0,0.0,0.8643021551500101
0x1c2ab4393cfa0a58024670337c95f5c51bc6aea4,0.0058944200450137905,0.8472883882181117,0.0,0.0,0.0,0.0,0.0,0.8531828082631255
0x8f25818ff64be1abee91abca70c306b33b602062,0.023528271818044143,0.8288053780650929,0.0,0.0,0.0,0.0,0.0,0.8523336498831371
0xa6e2dc44418f5ad213c86db4dbb203a59d13c49f,0.0,0.8336319753385059,0.0,0.0,0.0,0.0,0.0,0.8336319753385059
0xac38a7473c31a1989a999c0a5da9a4e0d57f2574,0.0,0.8250166336049308,0.0,0.0,0.0,0.0,0.0,0.8250166336049308
0x27ab6308d7ea73f82c0cce159400ac3f8fe9cf44,0.1330704445631056,0.6914743445172928,0.0,0.0,0.0,0.0,0.0,0.8245447890803984
0x9f229740de515c449dd71cc99ed638b99fe476c7,0.8205945515017312,0.0,0.0,0.0,0.0,0.0,0.0,0.8205945515017312
